FlightID,RouteCode,Origin,Destination,FlightDate,FlightDurationMins,AircraftType,SeatsAvailable,SeatsSold,Revenue,OperationalCost,Profit,OccupancyPct,RouteType,YearMonth
97,CCU-KUL,CCU,KUL,22-02-2023,72,ATR 72,180,125,3325879,2197136.21,1128742.79,69.44444444,International,2023-02
98,DEL-BLR,DEL,BLR,10-05-2023,549,Boeing 737,120,79,200134.48,185658.24,14476.24,65.83333333,Domestic,2023-05
99,DEL-BLR,DEL,BLR,19-03-2023,212,ATR 72,180,89,253360.19,224184.2,29175.99,49.44444444,Domestic,2023-03
100,BOM-BKK,BOM,BKK,07-11-2023,670,ATR 72,150,129,3316031.48,3631394.78,-315363.3,86,International,2023-11
101,DEL-AMD,DEL,AMD,29-10-2023,499,Boeing 777,350,272,951275.29,945618.61,5656.68,77.71428571,Domestic,2023-10
102,CCU-DEL,CCU,DEL,17-11-2023,276,Boeing 777,120,63,170910.46,101698.38,69212.08,52.5,Domestic,2023-11
103,BOM-DEL,BOM,DEL,29-07-2023,521,ATR 72,250,151,425315.24,414330.84,10984.4,60.4,Domestic,2023-07
104,DEL-FRA,DEL,FRA,06-02-2023,763,Airbus A320,180,156,4582635.74,4338426.28,244209.46,86.66666667,International,2023-02
105,CCU-DEL,CCU,DEL,06-08-2023,177,ATR 72,150,118,476146.59,498039.19,-21892.6,78.66666667,Domestic,2023-08
106,BOM-CCU,BOM,CCU,31-01-2023,229,Boeing 777,350,296,1013673.52,733054.58,280618.94,84.57142857,Domestic,2023-01
107,BLR-HYD,BLR,HYD,28-08-2023,765,Boeing 777,250,237,782301.43,662043.81,120257.62,94.8,Domestic,2023-08
108,BOM-CCU,BOM,CCU,03-11-2023,100,Airbus A380,180,138,337624.84,232068,105556.84,76.66666667,Domestic,2023-11
109,BOM-NRT,BOM,NRT,28-10-2023,81,Boeing 777,350,164,5140421.32,4278375.2,862046.12,46.85714286,International,2023-10
110,DEL-FRA,DEL,FRA,23-05-2023,245,ATR 72,250,196,5365673.86,3244866.82,2120807.04,78.4,International,2023-05
111,DEL-LHR,DEL,LHR,29-07-2023,401,Boeing 777,120,108,2694281.93,2603226.53,91055.4,90,International,2023-07
112,DEL-AMD,DEL,AMD,06-12-2023,470,ATR 72,120,82,243222.73,180949.02,62273.71,68.33333333,Domestic,2023-12
113,BLR-SIN,BLR,SIN,21-09-2023,61,ATR 72,250,167,3809894.27,2922446.51,887447.76,66.8,International,2023-09
114,CCU-KUL,CCU,KUL,17-11-2023,512,Boeing 737,150,88,1932937.46,1397161,535776.46,58.66666667,International,2023-11
115,CCU-KUL,CCU,KUL,04-03-2023,89,ATR 72,150,123,3033334.01,1693221.24,1340112.77,82,International,2023-03
116,BOM-BKK,BOM,BKK,17-02-2023,290,Boeing 737,250,237,7042607.94,4524049.33,2518558.61,94.8,International,2023-02
117,DEL-AMD,DEL,AMD,18-09-2023,782,Boeing 777,250,223,928670.2,646575.99,282094.21,89.2,Domestic,2023-09
118,MAA-CMB,MAA,CMB,16-03-2023,452,Airbus A320,350,251,8330663.35,8900615.35,-569952,71.71428571,International,2023-03
119,MAA-BLR,MAA,BLR,01-08-2023,408,ATR 72,180,159,462548.52,337259.63,125288.89,88.33333333,Domestic,2023-08
120,BOM-NRT,BOM,NRT,24-10-2023,735,Airbus A380,150,103,2808307.44,2104725.25,703582.19,68.66666667,International,2023-10
121,MAA-CMB,MAA,CMB,13-07-2023,526,Boeing 777,150,145,3419402.06,2666389.92,753012.14,96.66666667,International,2023-07
122,BOM-BKK,BOM,BKK,23-01-2023,385,Airbus A380,250,163,4882719.19,5089983.45,-207264.26,65.2,International,2023-01
123,DEL-MAA,DEL,MAA,11-09-2023,97,Airbus A320,350,336,1007190.4,614606.48,392583.92,96,Domestic,2023-09
124,DEL-FRA,DEL,FRA,21-02-2023,598,Airbus A380,120,99,2588818.25,2440915.95,147902.3,82.5,International,2023-02
125,DEL-MAA,DEL,MAA,08-02-2023,540,Boeing 777,180,140,436165.8,260909.67,175256.13,77.77777778,Domestic,2023-02
126,BOM-DXB,BOM,DXB,12-12-2023,606,Airbus A380,180,140,4663621.23,3930353.03,733268.2,77.77777778,International,2023-12
127,MAA-CMB,MAA,CMB,19-01-2023,692,Boeing 737,150,117,3956230.57,4543554.97,-587324.4,78,International,2023-01
128,BOM-CCU,BOM,CCU,11-08-2023,160,Boeing 737,250,134,393831.22,223447.37,170383.85,53.6,Domestic,2023-08
129,BOM-DXB,BOM,DXB,29-01-2023,360,Boeing 777,180,122,2886881.3,2301511.41,585369.89,67.77777778,International,2023-01
130,BOM-GOI,BOM,GOI,29-03-2023,239,Boeing 737,350,319,1121437.69,778836.09,342601.6,91.14285714,Domestic,2023-03
131,BOM-NRT,BOM,NRT,15-03-2023,297,Airbus A380,180,124,3720323.73,4052716.5,-332392.77,68.88888889,International,2023-03
132,DEL-FRA,DEL,FRA,28-05-2023,753,ATR 72,150,73,2495033.02,2850802.32,-355769.3,48.66666667,International,2023-05
133,DEL-AMD,DEL,AMD,24-11-2023,494,Boeing 777,250,224,617924.29,482485.14,135439.15,89.6,Domestic,2023-11
134,CCU-KUL,CCU,KUL,24-02-2023,302,Airbus A380,350,224,5474131.23,5307539.45,166591.78,64,International,2023-02
135,BOM-DEL,BOM,DEL,04-12-2023,465,Boeing 777,120,89,323465.08,322430.41,1034.67,74.16666667,Domestic,2023-12
136,DEL-BLR,DEL,BLR,07-11-2023,823,Airbus A380,180,155,436203.03,449794.76,-13591.73,86.11111111,Domestic,2023-11
137,HYD-BOM,HYD,BOM,22-11-2023,254,ATR 72,180,145,536162.31,506946.25,29216.06,80.55555556,Domestic,2023-11
138,DEL-MAA,DEL,MAA,18-11-2023,159,Boeing 737,180,156,383768.76,295086.22,88682.54,86.66666667,Domestic,2023-11
139,DEL-MAA,DEL,MAA,16-02-2023,362,Boeing 777,250,135,356114.83,311117.82,44997.01,54,Domestic,2023-02
140,DEL-LHR,DEL,LHR,29-09-2023,573,Boeing 777,150,87,2816220.21,2363114.87,453105.34,58,International,2023-09
141,DEL-AMD,DEL,AMD,23-06-2023,883,Boeing 737,250,240,636807.03,719528.34,-82721.31,96,Domestic,2023-06
142,BLR-SIN,BLR,SIN,13-10-2023,434,Boeing 737,250,114,3197538.65,2631163.8,566374.85,45.6,International,2023-10
143,MAA-BLR,MAA,BLR,27-10-2023,450,Boeing 777,120,96,311871.2,287460.45,24410.75,80,Domestic,2023-10
144,MAA-CMB,MAA,CMB,17-06-2023,684,Airbus A320,120,94,2534617.23,2460216.83,74400.4,78.33333333,International,2023-06
145,BOM-BKK,BOM,BKK,01-03-2023,203,Boeing 737,120,73,1999423.96,1216279.98,783143.98,60.83333333,International,2023-03
146,MAA-CMB,MAA,CMB,11-03-2023,457,Airbus A380,180,144,4485182.66,5012570.4,-527387.74,80,International,2023-03
147,BOM-BKK,BOM,BKK,28-10-2023,820,Airbus A320,250,199,6468573.85,5947150.71,521423.14,79.6,International,2023-10
148,MAA-BLR,MAA,BLR,17-01-2023,766,Boeing 777,150,102,419321.93,445852.48,-26530.55,68,Domestic,2023-01
149,BLR-HYD,BLR,HYD,18-12-2023,436,ATR 72,180,86,249106.45,281720.49,-32614.04,47.77777778,Domestic,2023-12
150,DEL-FRA,DEL,FRA,16-02-2023,738,Airbus A320,350,337,6995674.37,5247493.78,1748180.59,96.28571429,International,2023-02
151,DEL-MAA,DEL,MAA,17-10-2023,270,Boeing 737,350,195,543798.92,582853.07,-39054.15,55.71428571,Domestic,2023-10
152,BOM-DXB,BOM,DXB,17-03-2023,867,ATR 72,120,71,2467989.96,2819718.96,-351729,59.16666667,International,2023-03
153,MAA-CMB,MAA,CMB,09-05-2023,877,Airbus A320,120,96,1957123.42,1093867.98,863255.44,80,International,2023-05
154,HYD-BOM,HYD,BOM,29-10-2023,391,Boeing 737,150,88,231278.55,185618.69,45659.86,58.66666667,Domestic,2023-10
155,BLR-HYD,BLR,HYD,02-02-2023,547,Airbus A380,180,129,334922.34,285455.39,49466.95,71.66666667,Domestic,2023-02
156,DEL-CDG,DEL,CDG,23-01-2023,804,ATR 72,180,124,4273088.7,2506146.2,1766942.5,68.88888889,International,2023-01
157,CCU-KUL,CCU,KUL,25-07-2023,496,Boeing 737,250,206,5490607.6,5982346.74,-491739.14,82.4,International,2023-07
158,BOM-DXB,BOM,DXB,08-11-2023,211,Boeing 737,150,89,2625157.43,2307549.77,317607.66,59.33333333,International,2023-11
159,BOM-DXB,BOM,DXB,15-07-2023,671,ATR 72,180,124,3606093.83,2197939.71,1408154.12,68.88888889,International,2023-07
160,BLR-HYD,BLR,HYD,02-12-2023,726,ATR 72,150,101,403854.95,322392.62,81462.33,67.33333333,Domestic,2023-12
161,DEL-FRA,DEL,FRA,24-07-2023,485,Boeing 737,180,121,3627170.77,2809536.16,817634.61,67.22222222,International,2023-07
162,DEL-MAA,DEL,MAA,18-12-2023,545,Boeing 737,120,106,272188.3,165473.79,106714.51,88.33333333,Domestic,2023-12
163,DEL-LHR,DEL,LHR,08-03-2023,629,Boeing 737,350,334,9494033.74,9038395.68,455638.06,95.42857143,International,2023-03
164,BOM-BKK,BOM,BKK,01-07-2023,741,Airbus A380,120,115,3335707.41,2538432.35,797275.06,95.83333333,International,2023-07
165,BOM-NRT,BOM,NRT,17-09-2023,277,Airbus A320,250,142,3070505.15,3246211.89,-175706.74,56.8,International,2023-09
166,DEL-LHR,DEL,LHR,28-02-2023,840,Boeing 777,350,199,5260900.55,4664206.16,596694.39,56.85714286,International,2023-02
167,DEL-CDG,DEL,CDG,11-11-2023,751,ATR 72,120,92,2747807.09,2654608.93,93198.16,76.66666667,International,2023-11
168,BOM-DEL,BOM,DEL,03-04-2023,339,Boeing 777,180,114,310824.42,197669.07,113155.35,63.33333333,Domestic,2023-04
169,BLR-SIN,BLR,SIN,05-02-2023,205,Boeing 737,120,101,2345926.31,1881197.13,464729.18,84.16666667,International,2023-02
170,BOM-DXB,BOM,DXB,22-03-2023,438,Boeing 777,180,155,4419655.02,2656098.75,1763556.27,86.11111111,International,2023-03
171,DEL-BLR,DEL,BLR,21-03-2023,221,ATR 72,120,96,277419.37,262761.42,14657.95,80,Domestic,2023-03
172,CCU-KUL,CCU,KUL,07-11-2023,512,Airbus A380,180,101,2796204.65,2117016.92,679187.73,56.11111111,International,2023-11
173,BLR-HYD,BLR,HYD,26-05-2023,754,ATR 72,250,182,537838.19,366972.95,170865.24,72.8,Domestic,2023-05
174,DEL-CDG,DEL,CDG,29-01-2023,67,Airbus A320,180,171,5388251.54,5434033.02,-45781.48,95,International,2023-01
175,DEL-AMD,DEL,AMD,17-06-2023,182,Boeing 737,250,211,573128.89,445965.61,127163.28,84.4,Domestic,2023-06
176,HYD-BOM,HYD,BOM,14-09-2023,632,Boeing 777,120,79,295118.28,239556.88,55561.4,65.83333333,Domestic,2023-09
177,DEL-FRA,DEL,FRA,09-02-2023,380,ATR 72,250,188,5760787.07,4612180.47,1148606.6,75.2,International,2023-02
178,BLR-HYD,BLR,HYD,27-07-2023,81,Boeing 777,150,131,460153.94,482800.67,-22646.73,87.33333333,Domestic,2023-07
179,DEL-LHR,DEL,LHR,15-02-2023,507,Boeing 737,150,102,2652688.22,1584154.24,1068533.98,68,International,2023-02
180,DEL-AMD,DEL,AMD,23-06-2023,286,Boeing 777,150,73,258405.72,224389.94,34015.78,48.66666667,Domestic,2023-06
181,CCU-DEL,CCU,DEL,28-06-2023,419,Airbus A320,150,75,214555.71,140340.76,74214.95,50,Domestic,2023-06
182,DEL-MAA,DEL,MAA,02-12-2023,137,Airbus A320,250,173,590747.23,530302.48,60444.75,69.2,Domestic,2023-12
183,BOM-NRT,BOM,NRT,26-11-2023,710,ATR 72,180,163,4793546.56,3070623.41,1722923.15,90.55555556,International,2023-11
184,BOM-CCU,BOM,CCU,29-08-2023,512,Boeing 777,180,137,415588.95,247073.61,168515.34,76.11111111,Domestic,2023-08
185,DEL-FRA,DEL,FRA,20-08-2023,98,Boeing 737,180,160,3384154.4,3616138.25,-231983.85,88.88888889,International,2023-08
186,BOM-CCU,BOM,CCU,11-11-2023,668,ATR 72,250,173,587814.12,602562.78,-14748.66,69.2,Domestic,2023-11
187,DEL-BLR,DEL,BLR,19-08-2023,889,ATR 72,150,93,302820.3,193961.44,108858.86,62,Domestic,2023-08
188,DEL-BLR,DEL,BLR,19-08-2023,165,Boeing 777,120,86,233112.12,162862.9,70249.22,71.66666667,Domestic,2023-08
189,DEL-FRA,DEL,FRA,13-08-2023,596,ATR 72,350,186,4760257.03,3426129.05,1334127.98,53.14285714,International,2023-08
190,BOM-BKK,BOM,BKK,23-06-2023,755,ATR 72,120,104,3089796.36,1821580.52,1268215.84,86.66666667,International,2023-06
191,BLR-HYD,BLR,HYD,13-10-2023,754,Airbus A380,180,105,412946.02,466069.88,-53123.86,58.33333333,Domestic,2023-10
192,DEL-CDG,DEL,CDG,18-03-2023,401,Boeing 737,350,280,9450335.11,6956760.64,2493574.47,80,International,2023-03
193,BLR-SIN,BLR,SIN,08-03-2023,669,Boeing 737,180,134,3973421.46,2968487.28,1004934.18,74.44444444,International,2023-03
194,DEL-MAA,DEL,MAA,10-12-2023,779,ATR 72,120,95,300402.49,230437.81,69964.68,79.16666667,Domestic,2023-12
195,DEL-LHR,DEL,LHR,08-06-2023,244,Airbus A320,180,171,4667284.91,3201411.27,1465873.64,95,International,2023-06
196,DEL-MAA,DEL,MAA,21-03-2023,139,Boeing 777,120,86,289956.51,287980.86,1975.65,71.66666667,Domestic,2023-03
197,HYD-DXB,HYD,DXB,20-01-2023,737,Boeing 777,350,181,4642794.45,3005505.22,1637289.23,51.71428571,International,2023-01
198,DEL-CDG,DEL,CDG,26-03-2023,798,Airbus A380,120,80,2411635.51,1670101.29,741534.22,66.66666667,International,2023-03
199,DEL-FRA,DEL,FRA,09-11-2023,351,Airbus A380,150,109,2685980.01,2780457.54,-94477.53,72.66666667,International,2023-11
200,CCU-KUL,CCU,KUL,10-04-2023,436,ATR 72,250,173,4191197.65,3265460.42,925737.23,69.2,International,2023-04
201,HYD-DXB,HYD,DXB,03-08-2023,225,Airbus A320,350,183,4346258.82,4062480.38,283778.44,52.28571429,International,2023-08
202,DEL-LHR,DEL,LHR,11-10-2023,165,ATR 72,120,72,2264166.18,1615878.3,648287.88,60,International,2023-10
203,HYD-DXB,HYD,DXB,17-03-2023,507,Boeing 737,150,132,4391566.95,4867099.68,-475532.73,88,International,2023-03
204,BOM-BKK,BOM,BKK,28-01-2023,465,ATR 72,180,103,3596541.67,2787131.35,809410.32,57.22222222,International,2023-01
